Dialogue,Manipulative
"Person1: I still ask, why do they want disarmament?
Person2: Well, for the same reasons we do, sir. Don't you see?
Person1: No, Major, I don't.  They have no regard for human life.  They wouldn't care if they lost their whole country as long as they won.
Person2: Gee, sir, that last remark doesn't exactly make all the sense in the world.
Person1: Major, you're talking like one of them!
Person2: Well, I'm not, sir.  Honestly, sir.
Person1: Don't be offended, Major.  Our President holds the same views.
Person2: Don't you think he knows something about this, General Ripper?
Person1: I'll tell you what I do think.  If they say they're for disarmament, I say anyone who says they're for disarmament is either a traitor or a damned fool.
Person2: But, General, we're on our toes.  We haven't agreed to anything for years.  Inffact, a a lot of people say we never will.
Person1: But if they suddenly opened up and gave us the inspection we want, we'd agree, wouldn't we?
Person2: If they gave us what we think we need, yes, I guess we would.
Person1: And you'd like to see that?
Person2: General, what's good enough for the President and all the experts he's got working on the thing, is good enough for me.
Person1: Do you think we'd cheat?
Person2: No, sir.  I'm sure we wouldn't.
Person1: Do you think they would cheat?
Person2: Look, sir.  I'm no expert on the subject, but I've read some pretty sharp ideas the big boys have.  Like, say, both countries agreeing to a million dollar reward and international protection for anyone who gives evidence of cheating to the inspectors. You can't hide those things without a lot of people knowing about it.  And if I were going to try and hide a few, I wouldn't want to depend on the fact that some poor slob isn't going to run and blab for a million bucks.  We're as smart as they are, and if they cheat, or even hold back information, we'd pull right out.
Person1: Major, I hate to say this, but I think you've been enemy indoctrinated, and you don't even know it.",1
"Person1: All right -- do you want to know the truth? I took you and Marcia and Ray to my sister's on the train for the weekend and you all got chicken pox. So I took you home a day early and there was your father with a woman in our bed. Okay?
Person2: Chicken pox? I was six. He didn't leave 'til I was twelve.
Person1: He... apologized, he begged me. He can be very... charming when it suits his purpose.
Person2: But what was that whole story about him and a nurse?
Person1: She could've been a nurse.
Person2: Could've been a nurse?
Person1: She had white shoes.
Person2: So does Grandma. So does Shaquille O'Neal. You told me you had a hysterectomy and he ran off with your nurse.
Person1: What's the difference?
Person2: The difference is for twenty years I thought one thing and now it's another thing.",0
"Person1: You're just going to lock the store like that?
Person2: I want to talk to you about something, and I don't want to be disturbed.
Person1: You saw it?
Person2: Very dramatic, I thought.
Person1: It's not what you think.
Person2: What, it's worse? You're pregnant with an Asian design major's child?
Person1: I'm not pregnant.
Person2: Were you going to tell me or just send me an invitation?
Person1: I was going to tell you. But then we were getting along so well, I didn't want to mess it up.
Person2: You could've broke it to me gently, you know; at least started by telling me you had a boyfriend. I told you I have a girlfriend.
Person1: I know, I'm sorry. But when we started talking... it's like I forgot I had a boyfriend. And then he proposed last month...
Person2: And you said yes?
Person1: Well... kind of, sort of?
Person2: Is that what they teach you at that school of yours? Kind of, sort of? Everyone knows about this except me! Do you know how humiliating that is?
Person1: I would've told you, and you would have stopped calling, like a baby.
Person2: How do you know that?
Person1: Because I know you. You prefer drastic measures to rational ones.
Person2: So you're really getting married?
Person1: No.
Person2: No, you're not really getting married?
Person1: The story goes like this. He proposed, and I told him I had to think about it, and he insisted I wear the ring anyway. Then my mother told the paper we were engaged.
Person2: How like her.
Person1: Then my mother called me this morning and told me the announcement was in the paper. That's when I hopped the train to come back here, because I knew you'd be a wreck.
Person2: Thanks for the vote of confidence.
Person1: Was I right?
Person2: Wreck is a harsh term. Disturbed is more like it. Mildly disturbed even.
Person1: I love a macho faade. It's such a turn-on.  What smells like shoe polish?
Person2: And you came here to what? To comfort me?
Person1: The last thing I needed was for you to think I was hiding something from you.
Person2: But you were.
Person1: No, I wasn't. Not really. I told you'd I'd been seeing other people.
Person2: Yeah, but not seriously. Christ, you're ready to walk down the aisle- I'd say that constitutes something more than just seeing somebody.
Person1: I'm giving him his ring back.
Person2: What?
Person1: I don't want to marry him. I don't want to get married now. I'm on the verge of graduation. I want to go to grad school after this. And then I want to start a career. I don't want to be a wife first, and then have to worry about when I'm going to fit in all of the other stuff.  I've come way too far and studied too hard to let my education go to waste as a housewife. And I know that's what I'd become. Sang's already signed with a major firm, and he's going to be pulling a huge salary, which would give me no reason to work, and he's so traditional anyway...
Person2: Sang? His name is a past tense?
Person1: Stop it. He's a nice guy.
Person2: If he's so nice, why aren't you going to marry him?
Person1: I just told you.
Person2: There's more, isn't there?
Person1: Why, Mr. Hicks-whatever do you mean?
Person2: Tell me I don't have something to do with it.
Person1: You don't have anything to do with it.
Person2: You lie.
Person1: Look how full of yourself you are.
Person2: I just believe in giving credit where credit is due. And I believe that I'm the impetus behind your failure to wed.
Person1: If I'm so nuts about you, then why am I having sex with an Asian design major?
Person2: Jesus, you're caustic.
Person1: I had to bring you down from that cloud you were floating on. When I say I don't want to get married, I mean just that. I don't want to marry anybody. Not for years.
Person2: So who's asking? I don't want to marry you.
Person1: Good. Stay in that frame of mind.
Person2: But can we date?
Person1: I'm sure Sang and-Veronica?-would like that.
Person2: We could introduce them. They might hit it off.
Person1: You're serious. You want to date again.
Person2: I would like to be your boyfriend, yes.
Person1: It's just the shock of seeing me after three years. Believe me, you'll get over it.
Person2: Give me a bit more credit. I think it's time we got back together, you know. I'm more mature, you're more mature, you're finishing college, I'm already in the job market...
Person1: You work in a market, all right.
Person2: Cute. Tell me you wouldn't want to go out again. After all the talking we've been doing.
Person1: The key word here is talk, Dante. I think the idea, the conception of us dating is more idyllic than what actually happens when we date.
Person2: So... what? So we should just make pretend over the phone that we're dating?
Person1: I don't know. Maybe we should just see what happens.
Person2: Let me take you out tonight.
Person1: You mean, on a date?
Person2: Yes. A real date. Dinner and a movie.
Person1: The Dante Hicks Dinner and a Movie Date. I think I've been on that one before.
Person2: You have a better suggestion?
Person1: How about the Caitlin Bree Walk on the Boardwalk, Then Get Naked Somewhere Kind of Private Date?
Person2: I hear that's a rather popular date.
Person1: Jerk. Here I am, throwing myself at you, succumbing to your wily charms, and you call me a slut, in so many words.
Person2: What about Sing?
Person1: Sang.
Person2: Sang.
Person1: He's not invited.
Person2: He's your fianc.
Person1: I offer you my body and you offer me semantics? He's just a boyfriend, Dante, and in case you haven't gotten the drift of why I came all the way here from Ohio, I'm about to become single again.  And yes-let me placate your ego-you are the inspiration for this bold and momentous decision, for which I'll probably be ostracized at both school and home. You ask me who I choose, I choose you.
Person2: So what are you saying?
Person1: You're such an asshole.
Person2: I'm just kidding.
Person1: I can already tell this isn't going to work.
Person2: I'll ask Randal to close up for me when he gets back.
Person1: Where'd he go?  I'd have thought he'd be at your side, like an obedient lapdog.
Person2: He went to rent a movie, but he hasn't gotten back yet. Ah, screw it; I'll just lock the store up and leave him a note.
Person1: You're too responsible. But no. I have to go home first. They don't even know I left school. And I should break the disengagement news to my mother, which is going to cause quite a row, considering she loves Sang.
Person2: Who doesn't?
Person1: Well, me I guess.  So, I shall take my leave of you, but I will return in a little while, at which time-yes-I would love to go for dinner and a movie with you.
Person2: What happened to the walk and the nakedness?
Person1: I'm easy, but I'm not that easy.  See you later, handsome.",1
"Person1: Jeff -- if you could only see yourself.
Person2: Now, Lisa --
Person1: Sitting around, looking out a window to kill time, is one thing -- but doing it the way you are --  -- with, with binoculars, and with wild opinions about every little movement you see -- is, is diseased!
Person2: Do you think I consider this recreation?
Person1: I don't know what you consider it -- but if you don't stop it, I'm getting out of here.
Person2: You'd better before you catch the disease!
Person1: What is it you're looking for?
Person2: I want to find out what's wrong with the salesman's wife. Does that make me sound like a madman?
Person1: What makes you think something's wrong with her?
Person1: A lot of things. She's an invalid who needs constant care -- and yet the husband nor anyone else has been in there all day.
Person1: Maybe she died.
Person2: Where's the doctor -- the undertakers?
Person1: She could be under sedatives, sleeping.  He's in the room now.",1
"Person1: Dickie? Do you know Dickie?
Person2: You were at the Opera? Well, that explains -- yes I was there. I was there with Dickie.
Person1: I told you! I knew it!
Person2: Marge, I don't know you, so I have no right, but Dickie loves you. He's -- I think you'll find he's coming home to you.
Person1: How would you know that?
Person2: He told me everything. I was supposed to meet him fifteen minutes ago, so I... I'm going to go now, I think. Unless he meant us to meet -- which would be a little cruel, wouldn't it?",0
"Person1: Think for a second. Is there someplace she said she wanted to go?
Person2: I don't remember!",0
"Person1: Nice mouth you got there, Mom, but I -- I'm not goin' through this again.
Person2: You're not goin' through this again? You? You're not the one who knows how Jiffy Pop feels.
Person1: Oh, c'mon... First the picture of Tammy, then Brett Clemens, now this? It's scary.
Person2: Let me tell you ""scary,"" Amber. Look at me. Do you wanna look like you been rode hard and put away wet at my age? I'm a ""lifer"" here. Best I can hope for is to end up in a descent ""raisin ranch"" where they'll change me twice a day.
Person1: That's it, I'm goin'...
Person2: Honest to God, if I got to do it over? I'd start walkin' outta this town the minute I took my first step. Practically the only thing I wouldn't do different is have you...",1
"Person1: How would you classify it?
Person2: Obviously a superpredator.  Suchimimus. that snout.
Person1: They never got that big.
Person2: Baryonyx?
Person1: Not with that sail.  Spinosaurus Aegypticus.
Person2: I don't remember that on InGen's list.
Person1: That's because it wasn't on their list. Who knows what else they were up to?",0
"Person1: You don't do what I say... I'll waste you myself. Got it?
Person2: Got it...",1
"Person1: Noah was my counselor in my freshman year.  That's probably where I got the idea for the icepick.  For my book. Funny how the subconscious works.  Hazel is my friend.
Person2: She wiped out her whole family.
Person1: Yes.  She's helped me understand homicidal impulse.
Person2: Didn't you study it in school?
Person1: Only in theory.  You know all about homicidal impulse, don't you, shooter?  Not in theory -- in practice.",0
"Person1: That was Sue. We got two parties tonight. One's for a modeling agency.
Person2: I don't know...
Person1: Listen to me, baby, there are going to be beautiful babies there.
Person2: Trent, I don't feel like going out tonight. I got shit to do tomorrow...
Person1: Listen to you. I got an audition for a pilot at nine and I'm going. You gotta get out with some beautiful babies. You can't sit home thinking about her.
Person2: I don't know...
Person1: I don't know, I don't know -- listen to you. We're gonna have fun tonight. We gotta get you out of that stuffy apartment.
Person2: We're gonna spend half the night driving around the Hills looking for this party and then leaving cause it sucks, then we're gonna look for this other party you heard about. But, Trent, all the parties and bars, they all suck. I spend half the night trying to talk to some girl who's eyes are darting around to see if there's someone else she should be talking to. And it's like I'm supposed to be all happy cause she's wearing a backpack. Half of them are nasty skanks who wouldn't be shit if they weren't surrounded by a bunch of drunken horny assholes. I'm not gonna be one of those assholes. It's depressing. Some skank who isn't half the woman my girlfriend is is gonna front me? It makes me want to puke.
Person1: You got it bad, baby. You need Vegas.
Person2: What are you talking about? Vegas?
Person1: VEGAS.
Person2: What Vegas?
Person1: We're going to Vegas.
Person2: When?
Person1: Tonight, baby.
Person2: You're crazy.
Person1: I'll pick you up in a half an hour.
Person2: I'm not going to Vegas.
Person1: Shut up -- yes you are. Now listen to Tee. We'll stop at a cash machine on the way.",1
"Person1: I don't think we should go ahead with that plan. It seems risky.
Person2: And who are you to question the strategy?
Person1: I'm just giving my opinion based on the data.
Person2: Know your place, Chris. I've been in this business longer than you have.
Person1: Experience doesn't always equal wisdom. I thought every opinion mattered.",1
"Person1: Well, there was a time  when you were very happy to be only with me.  You wanted to learn everything about poetry, about music.
Person2: Mm-hm.
Person1: Have I really taught you everything I have to give?  I don't think so.",0
"Person1: The next thing... his hand was in my shorts... you know, from behind.  His fingers... his fingers...
Person2: Take your time.
Person1: They were in me.  Both places... you know.
Person2: I understand.
Person1: He said something like, ""Do you want it dirty7"" or something.  I tried to turn away, but he pushed me to the floor.
Person2: Was there penetration?  Did he put himself inside you?
Person1: Yes.  I said stop.  I screamed.  I mean that's how it sounded in my head.  He hurt me...
Person2: That's okay, Kelly.  You're doing fine.  But I have to ask you something here. When you say it hurt.  Was this the first time a man was inside you?
Person1: No.  I've done it a couple of times, I mean with guys I dated.  But this hurt... like, he was built... you know...
Person2: He was large?",0
"Person1: You were quick enough to get Tom's help when...
Person2: Yes, yes.  I know.  Right.  And if it had gone well for me tonight, maybe I'd be keeping quiet about all this...I grant you everything but give me this...he does personify everything you've been fighting against...And I'm in love with you.  How do you like that? -- I buried the lead.",0
"Person1: I don't remember. ""Cinderella Man!"" What do they mean by that?
Person2: They'd call you anything if you gave them half a chance. They've got you down as a sap.
Person1: I think I'll go down and punch this editor on the nose.
Person2: No, you don't! Get this clear: Socking people is no solution for anything.
Person1: Sometimes it's the only solution.
Person2: Not editors. Take my word for it. Not editors!
Person1: If they're going to poke fun at me, I'm going to
Person2: Listen. Listen, Longfellow. You've got brains, kid. You'll get along swell if you'll only curb your homicidal instincts - and keep your trap shut. Don't talk to anybody! These newshounds are out gunning for you.
Person1: But what about this ""Cinderella Man""?
Person2: That's my job. I'll take care of that. I'll keep that stuff out of the papers - if you'll help me. But I can't do anything if you go around talking to people. Will you promise me to be careful from now on?
Person1: Yes, I guess I'll have to.
Person2: Thank you.  If you feel the building rock, it'll be me blasting into this editor.",0
"Person1: You won't find it because no such telegram exists.
Person2: Well, I tried, you got to admit I tried. I thought I might just trap you there, Wilhelm, but David here was too quick for me. Smart move, David, smart move. No, I don't have the telegram, but I know it exists. And I want you to know, Wilhelm, we're going to keep looking for it because I believe you sent it.
Person1: Then you are wrong.
Person2: Art and politics, yeah, art and politics. Let's look at that. You and the Berlin Philharmonic toured the Third Reich, played in countries the Nazis had conquered. Are you saying that conducting in occupied territories from 1939 on wasn't a commercial for Adolf and all he stood for?
Person1: We never, never officially represented the regime when we played abroad. We always performed as a private ensemble. As I think I already told you, I was a freelance conductor.
Person2: You know something? You should've written our insurance policies for us because you got more exclusion clauses than Double Indemnity. What do you imagine people thought? The Berlin Philharmonic's taken over by Doctor Goebbels and his Propaganda Ministry but Wilhelm is a freelance, so art and politics are now entirely separate? Is that what you believed ordinary people thought?
Person1: have no idea what ordinary people thought.
Person2: No!
Person1: No, because I had only one intention. My only intention whatever I did was to show that music means more than politics.
Person2: Tell me about von der Null.
Person1: Von der Null?
Person2: Yes, von der Null.
Person1: Von der Null?
Person2: How long's this going to go on, Wilhelm? I say von der Null, you say von der Null, I say von der Null, you say von der Null, we could go on all day. You know who von der Null is, don't you? Edwin von der Nuell, music critic.
Person1: Yes, I know who he is.
Person2: Isn't it true that because he gave you bad reviews and praised this young guy, Von Karajan, called him a goddamn miracle, said he was a better conductor than you, then you had von der Null conscripted into the army and no one's heard from him since?
Person1: That's an outrageous lie!
Person2: You sure you didn't call one of your close buddies and say, God in heaven, did you see what that guy von der Null wrote about me? The greatest conductor on earth. I want him out the way. He had the nerve to accuse me I am not playing enough modern music. Send him to Stalingrad. Isn't that what you did? You don't like criticism, do you, Wilhelm?  You surely didn't like them saying there was another conductor who was better than you... Are you saying the name von der Null was never mentioned in your talks with Goebbels?
Person1: Well. Once he said he'd read what this man wrote about me.
Person2: And what did he say?
Person1: He said, 'Don't mind him. His job is to criticise, your job is to conduct.'
Person2: And what happened to Von der Nul?
Person1: I have no idea.
Person2: You've really no idea? I'll tell you what happened. He died in Stalingrad.
Person1: I'm sorry.
Person2: Now, that young conductor what's his name?  That miracle kid, you know who I mean. Von Karajan! But you called him something else. C'mon. What did you call von Karajan?",1
"Person1: I don't know... I don't remember.
Person2: Something must've happened! What set him off?
Person1: I... I blacked out.
Person2: Don't try to use your blackouts to get out of this one!",1
"Person1: Far out.  Where are my glasses?
Person2: They broke when you fell.
Person1: Oh no, Seth, that's my only pair!
Person2: Don't worry about it, we'll get you some glasses.
Person1: What dya mean, don't worry about it. Of course I'm gonna worry about it, I can't see.
Person2: When we get to El Ray, I'll take care of it.
Person1: Yeah, like a Mexican hole-in-the- wall's gonna have my prescription.
Person2: It's not a big deal, unless you make it a big deal. Now, I'm real happy, Richie, stop bringing me down with bullshit.",1
"Person1: Dem white boys giving you a hard time?
Person2: Nuthin' I can't handle.
Person1: The truth is never let them seeya sweat.  You do that, that's half the battle.
Person2: Where do you go from here?
Person1: Three nights Charleston, South Carolina.
Person2: I didn't mean that, in life.
Person1: In life?  I'ma keep on living, having a good drink, got me a good young woman, make a couple of dollars and make people laugh. Haven't I always tol' you all nigga's are entertainers?  The question is what are you gonna do, Peerless?",0
"Person1: No, you idiot. I said ""Is it a receptacle tip?"" Not, is Luis a despicable twit. Is it a receptacle tip? Get off me.
Person2: Is it a what?
Person1: Pull out.
Person2: I'm ignoring you.
Person1: Pull out, goddamnit!
Person2: What do you want, Courtney?",1
"Person1: So... You're ready for me now?
Person2: You've got to help them.
Person1: Can you help me?
Person2: ... I will.
Person1: Then I'll help them.  For a price.",1
"Person1: I've arranged for us to meet with a potential investor next week.
Person2: I'm not sure if we're ready for that step yet. We need more time to refine our pitch.
Person1: Trust me, I know what’s best. This is a golden opportunity we can't afford to miss.
Person2: I hope you're right. We only get one shot at making a good first impression.
Person1: With proper preparation, we'll nail it. I have a good feeling about this.",1
"Person1: Shhh. Hold it down! I'll take you guys down, but ya gotta come right back up! 'Kay?
Person2: 'Kay, Mac!
Person1: Shhh... Remember this is a privilege, so I don't want none of you goons up. Kay?
Person2: 'Kay, Mac!
Person1: 'Kay, let's see...  Cheswick first ... then Billy... Martini... Scanlon... Sefelt... Fredrickson... Taber an' the Chief... 'Kay
Person2: 'Kay!
Person1: Shhh!",1
"Person1: I never intended to test you two to that extent, but you both came through. I should've been informed there was a flag on the play, but I'll take that up with Ruiz. I made a few calls back East. Those punks weren't tied in with anyone. As for the Welshman, he wasn't in on it. He was just plain dumb. As for you, Ricky, your draw will go towards a new carpet cleaning van.
Person2: But, Max --
Person1: We're square.
Person2: Yes, sir.
Person1: And, as for you, Bobby, you just moved up a notch. Your days of fighting for crumbs is through. Take a week off, come back, and we'll talk about the next thing.",0
"Person1: Yummy. Carl says if I lose ten pounds, he'll take me to the University of Maryland Fall Mixer.
Person2: Misty, if you want to lose weight go ahead, but do it for yourself, not for some boy you barely know.",0
"Person1: No, don't Jack, don't.
Person2: Who sent you, Thorpey?
Person1: Brumby!",0
"Person1: You wanted to become a member of the most powerful clique in the school. If I wasn't already the head of it, I'd want the same thing.
Person2: I'm sorry? What are you oozing about?
Person1: That episode with the note back there was for all of us to enjoy, but you're determined to ruin my day.
Person2: We made a girl want to consider suicide. What a scream. What a jest.
Person1: Come on you jerk. You know you used to have a sense of humor.",0
"Person1: You took your boots off? You put your feet on the table... you boot-kicking, stinky, horse-manure-smelling troublemaker you! You mess things up over there, I'll put you in a hole in the desert! You understand? Go over there and apologize. Go! Get out of -
Person2: Nicky, I'm sorry.",1
"Person1: How's school?
Person2: OK. OK. But now that I've got a job, I'11 probably stop going...
Person1: Don't do that...Sooner or later you'll be left empty-handed.
Person2: Why? What do you mean?
Person1: Toto, this isn't for you. For the moment, the Cinema Paradiso needs you, and you need the Cinema Paradiso. But it won't last...Some day you'll have other things to do, more important things...  That's right, more important. I know it. Now that I've lost my sight I see more. I see everything I didn't see before...  And it's all thanks to you, who saved my life. And I'll never forget it...  And don't put on that look. I haven't gone off my head yet. You want proof?",0
"Person1: Now maybe you got this case reopened because you see yourself as a thorn in society's side, or you want to walk into any restaurant in Chinatown and get free dumplings...
Person2: Are you implying that my motives are less than sincere?
Person1: Yes, but that's not the issue. What's on your wish list, Ed? Pleading Kim out to first degree man on both homicides, with an agreed sentence of 15 to life running concurrent? Come on... What're you looking for here?
Person2: What am I looking for? You're the one talking deal.
Person1: Friday's the drop-dead date on the offer.
Person2: Please don't bullshit me, Mr. Reynard. You've got witness problems, you've got proof problems...
Person1: You're my only problem, Ed. What does it take to make you go away?",1
"Person1: It's quite advanced.
Person2: Burn marks. The original M.E. listed it as ""burn residue."" Same place, the outer thigh, as Karen Sumpter. The UNSUB is able to abduct, kill, transport and bury without detection.
Person1: All the same killer?
Person2: Low calls him Suspect Zero.
Person1: Suspect Zero is a crackpot theory. You said so.
Person2: That's what Koessler wants us to believe. To discredit Low.
Person1: You're assigned, we're assigned, to apprehend Richard Low, not Suspect Zero. I have to tell you, Mack, I'm not comfortable where you're going.
Person2: But it was your idea",1
"Person1: Thanks for taking care of this for me.
Person2: Tell me something, Wes.  Are you crazy, greedy, or just stupid?  Jaeger says you're crazy.",1
"Person1: Peter, I believe your baptism was perverted.  Look at your certificate. Your mother was the only witness to it. Your blood-type doesn't match who you thought your father was.  Peter...I'm sorry.
Person2: And if what you're saying is true, what would happen to me?
Person1: I don't know.  I do know that people who are possessed have to accept evil in some way.  I don't know if it works the same way in this instance.  I don't even know when it's going to happen.",0
"Person1: Why did you laugh when I told the group about my painting hobby?
Person2: It just caught me off guard. I didn't expect it.
Person1: It felt like you were mocking me.
Person2: You're too sensitive. I was just surprised, that's all.
Person1: It's not about sensitivity. It's about respect and understanding.",1
"Person1: Where'd you say the showersand thingswere?
Person2: Heyyou're little, aren't you?
Person1: Where is the shower?
Person2: Your hair's cute like that. You should never comb it.
Person1: I'll find it myself.",1
"Person1: Why not try it for a few weeks?
Person2: Stop.  Ernie thought I was good too -- he couldn't help.  My agent has a hot prospect -- the number two station in Portland.  The general manager says he wants to be every bit as good as the networks.  Personally, I think he should aim higher.
Person1: Tell me the God's honest truth -- are you leaving because of me? Because if you are...
Person2: Ernie told this story.  How he used to write obits and when the people in town called him up with death notices, he cried.  He was till that way when they promoted him out of obits.  He says you're lucky if you can get out while you could still cry.  I should have quit this place  three years ago.
Person1: You're just trying to say all great stuff so I'll feel even worse that you're not around.",1
"Person1: That was over thirty years ago.  I paid for that and then some.
Person2: You go to Xavier High School, Daryl?
Person1: Yeah.
Person2: You remember Mary Finelli?
Person1: What are you saying?
Person2: You know what I'm saying.
Person1: No, I don't.
Person2: Well, I think you do.",0
"Person1: You could always make it up to her.
Person2: How?
Person1: When a girl runs out like that, she generally wants to be followed.
Person2: She's not a girl, Col --
Person1: Whatever you say.",1
"Person1: Are you crazy?
Person2: Let's see how much he wants to play.",0
"Person1: Look, it's not a big deal! I can fix it! All I gotta do is get 'em together and make sure my old man asks her out!
Person2: You better make sure your old man asks her out, because if he doesn't, they may never have a first date. And if they don't have a first date, they won't have a second date. If they don't have a second date, they won't fall in love. If they don't fall in love, they won't get married, and if they don't get married, you'll never be born!",1
"Person1: You are a master of understatement. They are likely to destroy the planet.
Person2: Then it's fortunate that I have you and your starship to protect me. In the meantime, Captain Chekov, I instruct you and your First Officer to beam down to my coordinates.
Person1: We will be happy to beam down. But first we must have certain assurances.",0
"Person1: No, you listen. Get out!
Person2: Lady, I'm here to help you. This man is very dangerous. An armed criminal.  He's got a gun, hasn't he?
Person1: You have no right here!",1
"Person1: Someone is after us, Pearl.
Person2: I want to go upstairs. It's cold and spidery down here. I'm hungry.
Person1: Now listen to me, Pearl. You and me is runnin' off tonight.
Person2: Why?
Person1: If we stay here somethin' awful will happen to us.
Person2: Won't Daddy Powell take care of us?
Person1: No, that's just it. No.",1
"Person1: You might regret this, Mr Rothstein.
Person2: I'll regret it even more if I keep you on.
Person1: This is not the way to treat people.
Person2: Listen, if you didn't know you're bein' scammed, you're too dumb to keep this job. If you did know, you were in on it. Either way, you're out!  Get out! Go on.  Let's go.",1
"Person1: What's the matter with you?
Person2: You are afraid!
Person1: Afraid ... of what?
Person2: -- of what happens after we die!
Person1: Are you plumb crazy, man! What do you think happens? We're buried -- that's all.
Person2: But what becomes of our souls?
Person1: Why do you fret about something that isn't there?
Person2: Don't say that -- I know it is --
Person1: All right -- so it's buried with you!
Person2: What if one hasn't a soul any more? What of that?
Person1: Huh? -- What's that?  Well -- what about it? Who cares, anyhow?
Person2: I do -- and I think you should too.
Person1: Stevens -- what's all this leading up to? You know something. Come on! Out with it -- you know something about me!",1
"Person1: William.
Person2: Yeah, I got a urgent message for a customer named William Jones.  Drop everything, Craig is in trouble.  Come quick.  Don't try to call.",1
"Person1: I swear to you, Argon, if you don't stop the meltdown that nanobot will be the last one I ever build.
Person2: Susan, I sense you are having difficulty understanding the situation you are presently in.  I ask that you keep in mind that I am ready to reduce an entire city to gelatin to get what I want.",1
"Person1: Ok. This is what you get when you're a pervert -- you said you'd help someone out and you didn't so we're just getting some money for her and that's that.
Person2: You know, please, I just wanna say that I didn't say I would help her out; I was very clear about it....I don't think that this is fair.....wait, wait, wait, ouch, ouch.....",1
"Person1: Hell, why not just shoot her? Why not shoot everybody. Shoot me. Shoot the president?
Person2: Don't fade on me now, Bear. Not unless you wanna hold Farrah on your lap in a room fulla felons.",1
"Person1: Leave.
Person2: Don't tell me what to do.
Person1: Leave.
Person2: Don't tell me what to do.
Person1: Leave.
Person2: Don't tell me what to do.
Person1: Leave.
Person2: Don't tell me what to do.",1
"Person1: Something was making me talk. Some Goddamn thing was making me move. I gotta get out of here.
Person2: Oh, Dollface, it was just your passion for me taking hold.
Person1: No, Dollface, I know what my passion taking hold feels like. I gotta go.",1
"Person1: I sort of already have.
Person2: Well, of course. Your old D-A-D! You know I'll always be there to love and support you, no matter what kind of pickle you're in.",1
"Person1: Come on, I thought we had fun, rich boy --
Person2: This is not cool.
Person1: It was cool last night.
Person2: I have to go.
Person1: Are you telling me no?
Person2: No I'm sorry, now I have to get off the phone....
Person1: ....this is your mistake....",1
"Person1: Can't.  History report.  The Normans and the Saxons.
Person2: Bogutude.  Blow it off.
Person1: I really can't.  Besides, it's pretty interesting.
Person2: You're weird and I'm afraid of you. Seriously, Cassandra, there's a lot cooler things you could be doing than your homework.
Person1: Like what?
Person2: Like my homework.",1
"Person1: You tell me.
Person2: Thou shall not kill... You've killed, right?
Person1: Yes.
Person2: Why?
Person1: To save lives.
Person2: So why would you hesitate to lie to save lives?",0
"Person1: What is this? Someone else you think escaped us, like Frank?
Person2: No, No, this one didn't escape. You told me you'd always been in Hell. You were wrong. Look at it. LOOK. IT'S YOU.
Person1: Nonsense, I...
Person2: It's you! You HAVEN'T always been as you are. You were HUMAN. Remember. Remember all your confusions. Think!",1
"Person1: 'Course you could just wait in there while we go back and get help.
Person2: That's a good idea.
Person1: You'll probably be safe enough  on your own --
Person2: I doubt it.
Person1: Maybe -- it's hard to say.",0
"Person1: Goddamnit, Harry.  This is our butts.  So your life is in the toilet.  So your wife is banging a used car salesman.  Sure it's humiliating.  But be a man here--
Person2: You tell on me, I tell on you.
Person1: Whatya talking?  I'm clean as a preacher's sheets, babe.  Clean as a --
Person2: What about that time you trashed a six-week operation because you were busy getting a blow-job?
Person1: You know about that?",1
"Person1: Loser sails home alone.
Person2: You're betting what you already got.",0
"Person1: ... So me and Sounder, ran right by the men that was the prisoners, and crawled under the fence! That's when I cut my hand on the glass. It hurt like mad! But I kept runnin', and then I didn't feel no more hurtin' till I stopped runnin'!  Why was that, Miss Johnson?
Person2: Because all you could think of was getting away from the guard.
Person1: Oh... . You right, that's all that was worryin' me right then...
Person2: You know, that was a good thing you did for Clarence, in class today. I believed his story, but I was afraid the other children wouldn't...
Person1: He was real scared nobody would believe him -- I could tell, even when he first stood up.
Person2: You could? How?
Person1: I been like that myself, when I thought nobody was gonna believe me...  You wanna hear another story?!
Person2: Not now, David, it's time for bed. You have a long trip ahead of you in the morning...",0
"Person1: Now by killer, you mean...?
Person2: I mean he murdered someone and did time back in Boston. The guy's a freak.
Person1: Jeez, Mary... I'm...
Person2: Well, lucky for me I found out. Thank God I have friends like Tucker.  Look, I'm sick of talking about stalkers.  Let's talk about you.",0
"Person1: What do you mean?
Person2: You are writing another book, aren't you? That's why you're here. The story's not over.
Person1: You're getting obvious.
Person2: No, Gale, I'm just getting started. Seeya soon.
Person1: No, wait...
Person2: Watch your back.",1
"Person1: How come you took your own car?
Person2: I didn't want him meeting me here.
Person1: Well that's something.
Person2: What is.
Person1: You didn't intend to be with him tonight.",0
"Person1: Have you ever know a woman? Do you know what it's like to feel her breath on your face... her skin against yours... flesh against flesh?
Person2: My creator did not intend for me to experience these things.
Person1: I'm your creator now.",1
"Person1: Who is this?
Person2: Never mind that!  Just take Jamie and get out of that house.  Don't tell anyone where you're going -- especially not him -- just GO.
Person1: Okay, you're having an emotional crisis.  You need to seek the help of a trained --
Person2: Think about it, Eve! Everything he's done recently has been peculiar, right?  He's said and done things your husband would never do ...
Person1: Whoever you are, don't call again.
Person2: Don't hang up ...",1
